,SCLC-A,SCLC-A2,SCLC-N,SCLC-P,SCLC-Y
Arhgef40,0.019242998549979486,0.019668382604615894,0.01858227270163338,0.010700412295595287,0.030196526337496237
Arl4c,0.04045425331685062,0.03209367509138839,0.028140980426674577,0.010864372829956765,0.02048710555698554
Arl4d,0.01802006681125447,0.013310410923369617,0.03443632773297718,0.011522344909572949,0.02313469536654221
Armcx1,0.0293956472456044,0.016169978551334514,0.01986670084148778,0.010965015903424451,0.02008433233330213
Armcx2,0.03655651764062463,0.021832498768458213,0.029050164157887214,0.01053339363339739,0.021868868963988746
Arpc1b,0.029825198477973183,0.04073236043030201,0.03363299145464551,0.0423488003942007,0.04848769603430249
Arrdc2,0.01239302802742305,0.022375344080969875,0.021852714462050893,0.00934821542812862,0.02570035057230311
Asap3,0.017631291820126415,0.008994039798619513,0.018742578151485504,0.009207592932040631,0.03532233717228857
Ascl1,0.05353654223977507,0.06653322785234954,0.012236046654988134,0.008176357437161332,0.005601997847003059
Asic1,0.012531203647373012,0.006080425910409018,0.03290416876350625,0.014113902315092802,0.01803875293651503
Ass1,0.03119238298549161,0.02954256990339041,0.048241798068489085,0.032732756151906496,0.031019116541278008
Atcay,0.04054003479736378,0.018922085353178627,0.030609448333459032,-0.0014115389188125058,0.01041869363153502
Atl1,0.033478975430325096,0.02423957049265211,0.030910483200932256,0.01913095666583179,0.017921302833224063
Atl3,0.02470606406362416,0.025499816711111137,0.018175477099650915,0.030693357740789986,0.03660124430644395
Atp1a3,0.031249464214948466,0.024799300006585916,0.05137275547941899,0.01919136561102375,0.014564549382479574
Atp2a3,0.02465319726180837,0.04565098275404436,0.014542239483097935,0.03738879335742731,0.0061673540891865235
Atp6v1g2,0.024393462132278228,0.013699491209915066,0.03207049913715013,0.012097215456039319,0.007484388296577444
Atp8b1,0.010278871834736747,0.030582632741289858,0.0005723479102862991,0.025922117474965783,0.017145545871790877
Auts2,0.04374836213549413,0.02401786095674778,0.04304857390830585,0.022684045079122077,0.016603125713572912
Avil,0.008950954865029186,0.01858944435238103,0.00421347123454403,0.053485348331029976,0.00806467522449937
Axl,-0.0004108292162307367,0.0007436841301838506,0.0012958116535951069,0.00547260848442737,0.03230313988171586
Azgp1,0.0036745973239745784,0.018412870286916894,-0.0009403183930498264,0.037285717924777494,0.008148223152358447
B2m,0.054615478334051164,0.061110417503075505,0.05607080942186315,0.06794019308195784,0.0678997195247064
B3galnt1,0.03017719071509241,0.02228985474413863,0.026664819903698213,0.026209133972890937,0.009632457469358074
B3gat1,0.026794433665296158,0.012953595051601303,0.023417245754279555,-0.0013269850523695424,0.009667883503364186
B3gnt5,0.03444250695089205,0.04013868428132512,0.012566885919011771,0.036025294178868676,0.01838020623501488
B3gnt9,0.01614721888093778,0.013275202408333733,0.01665423326155861,0.008550600824533943,0.025892882219104164
B4galt1,0.022448851225732768,0.02942461832658972,0.021226478722579593,0.029751072927485175,0.03549997674169195
Baalc,0.0206104466879903,0.027835494434546422,0.018599685564816802,-0.000977876195474945,0.0013450685885234832
Bace2,0.016895197413628774,0.027381225869898145,0.006402809219429556,0.016500360399476947,0.033892440839663696
Bag2,0.011735024784137193,0.01931951855029549,0.018399176515876567,0.027863767593219985,0.029639679897002544
Bag3,0.011267818002332829,0.017951887671310934,0.017574237144463992,0.022168788374416652,0.03788665619390169
Bambi,0.022203382314138365,0.02946914861505862,0.0051769647860425375,0.013904092140642603,0.019080374600846
Barx1,0.0350755223624137,0.028536938826033253,0.021382249738973777,0.023281814836918716,0.017938246385757275
Basp1,0.0383781063034063,0.02551661483054455,0.04164904930317711,0.033535811930570175,0.02280310911618714
Bcam,0.01489566332482353,0.037614460243244774,0.012637956447237515,0.024204626377965957,0.02720726763259663
Bcar3,0.010920459306244827,0.014127673673975138,0.01614964447658835,0.013270465957558337,0.02661632788908649
