,cluster,cline,drug,Emax_normalized,AAr,IC50,logEC50,Emax
211,[3],NCIH1436, ZIP-301,16.85123391,2.010047223,4.60E-08,-7.417936637,17.3018005
212,[3],NCIH146, ZIP-301,27.11290668,1.137568267,4.70E-07,-6.559090918,26.66367093
213,[3],NCIH1618, ZIP-301,15.3172993,2.163844841,3.47E-08,-7.555955204,14.96870041
214,[2],NCIH1694, ZIP-301,-21.19964486,3.880780959,1.09E-09,-7.954677021,-42.8406648
215,[3],NCIH1836, ZIP-301,19.41185412,1.854726803,6.70E-08,-7.301029996,18.7678664
216,[3],NCIH1876, ZIP-301,9.487006072,2.643940404,1.29E-08,-7.920818754,9.023481993
217,[3],NCIH1930, ZIP-301,12.10164765,1.954794503,6.86E-08,-7.224025669,11.36606789
218,[4],NCIH196, ZIP-301,55.59468608,0.595673865,,-6.335358024,56.03619156
219,[3],NCIH1963, ZIP-301,9.038221111,2.034461441,6.10E-08,-7.236572006,7.928844916
220,[1],NCIH2029, ZIP-301,34.63720707,1.46000663,1.42E-07,-7.233587153,33.98391238
221,[4],NCIH2066, ZIP-301,9.66768398,1.527423875,8.45E-07,-6.3400838,10.90117385
222,[3],NCIH2081, ZIP-301,12.20713307,1.938709822,7.03E-08,-7.208309351,10.64483136
223,[3],NCIH209, ZIP-301,13.5811668,1.747424265,1.15E-07,-7.021819483,13.69250995
224,[4],NCIH211, ZIP-301,8.150757897,2.045788272,6.31E-08,-7.227678293,7.574446745
225,,NCIH2141, ZIP-301,18.54735478,1.891781584,5.73E-08,-7.322393047,17.93480544
226,[2],NCIH2171, ZIP-301,36.0511871,1.447991589,8.16E-08,-7.2644011,34.09003022
227,[2],NCIH446, ZIP-301,4.5588037,2.313016279,3.93E-08,-7.42365865,4.402059687
228,[1],NCIH510, ZIP-301,4.327496038,2.389141081,3.28E-08,-7.49757288,4.355406535
229,[2],NCIH524, ZIP-301,6.373707153,2.39083334,2.96E-08,-7.552841969,6.472401777
230,[2],NCIH526, ZIP-301,3.717813851,2.001567598,8.45E-08,-7.078833949,2.448424758
231,[3],NCIH69, ZIP-301,15.83514392,1.974028182,5.05E-08,-7.345823458,15.62965721
232,,NCIH69/CPR, ZIP-301,3.325316793,2.200481798,5.44E-08,-7.276544328,3.232621802
233,,NCIH69/LX10, ZIP-301,7.341291636,2.271795727,3.70E-08,-7.452225295,7.683080877
234,,NCIH69VCR/R, ZIP-301,11.84504079,1.769770094,1.10E-07,-7.007446482,11.34816604
235,[2],NCIH82, ZIP-301,4.972770276,3.006890313,7.34E-09,-8.164309429,4.297653041
236,[4],NCIH841, ZIP-301,11.87811509,2.314052375,2.68E-08,-7.625251654,11.93906106
237,[3],NCIH889, ZIP-301,15.83045569,1.891616759,7.21E-08,-7.247183569,15.96255427
238,[1],SHP77, ZIP-301,5.078322748,1.36078156,3.72E-07,-6.434152181,5.195432425
239,[4],SW1271, ZIP-301,11.47694751,2.219494226,3.60E-08,-7.507239611,11.36409091
240,[1],COLO668,(+)-JQ1,43.72179517,0.691060928,3.32E-06,-6.216811309,44.52666489
241,[1],CORL88,(+)-JQ1,30.17200597,0.362105826,6.34E-06,-5.465973894,28.35074293
242,[3],CORL47,(+)-JQ1,38.11621514,0.552918016,3.56E-06,-5.879426069,38.22300107
243,[4],DMS114,(+)-JQ1,13.67818725,1.610908206,1.84E-07,-6.863279433,12.47792336
244,[2],DMS273,(+)-JQ1,10.78918109,1.171775349,5.39E-07,-6.313363731,10.33088229
245,[1],DMS53,(+)-JQ1,41.03185783,1.068736926,5.29E-07,-6.812479279,40.31093703
246,[3],DMS79,(+)-JQ1,61.08799397,0.342670917,,-5.876148359,57.39340376
