Gene,GFPneg #1,GFPneg #2,GFPneg #3,GFPhigh #1,GFPhigh #2,GFPhigh #3
Kpnb1,9.960754712,9.790735445,9.854013411,9.372570967,9.206231431,9.326509152
Tada3,7.865424054,7.806110779,7.858444688,7.054532774,7.377846143,7.397318653
Nrg1,6.021268961,6.212997366,6.149715401,5.402933276,5.555724731,5.724957149
Dynlt1b,4.235992168,4.208205486,3.812446233,3.52909193,3.547705224,3.479218337
Kiss1r,7.24920299,7.328996667,7.136813205,6.482366587,6.777076215,6.75452076
Tpsg1,5.227370537,5.170300357,5.213055555,4.705525949,4.762199626,4.441398276
Pacs2,9.217511419,9.469400482,9.29914827,8.639066791,8.797838814,8.846099364
Camk2n1,8.828225979,8.863083342,8.752084961,8.105253677,8.312822855,8.321680999
Nhs,6.265187431,6.313401703,6.322280274,5.718459517,5.603580645,5.875043006
Slc35b1,8.604356729,8.658459843,8.670268403,8.005621128,7.983979915,8.238999542
Gnas,6.348363106,6.439565485,6.380684531,5.809086705,5.735896532,5.919132656
Stt3b,9.988297187,10.09152407,10.03236731,9.491289193,9.306175821,9.609200143
Rec8,6.836450033,6.429695447,6.709496125,6.199135864,6.070929679,5.999927794
Ubn2,8.795159018,8.857556596,8.793083881,8.164088474,8.352951472,8.222548751
Gfm1,7.701923126,7.665746824,7.564959246,7.133631184,6.855603759,7.236116781
Zfp114,5.830813072,6.195027166,5.995689236,5.301899705,5.387700166,5.624216156
Nkrf,7.065743611,6.878549686,6.806431543,6.418088653,6.247007809,6.376135348
Tmem120b,7.240925319,7.316799347,7.438297782,6.627437944,6.711270542,6.946402815
Pa2g4,10.19875878,10.03965146,10.30138374,9.506976871,9.537318676,9.783704971
Thy1,5.647789842,6.103106324,6.052636631,5.228536515,5.218285573,5.644460925
Caprin1,8.288536888,8.13477528,8.338863399,7.669013714,7.642750943,7.735184431
Cyb5r3,11.97839134,12.05186258,11.72600744,11.28197583,11.26482875,11.49401351
Ctxn3,5.097397489,5.648331102,5.685404647,4.557461902,5.069143097,5.088990459
Lin7c,9.156342727,8.869951852,9.031384024,8.49999228,8.289052019,8.552902533
Odc1,8.74060609,8.534448406,8.647629663,8.131297515,8.000578141,8.074321719
Nudc,8.634127645,8.47858149,8.909431191,8.017276974,8.0882177,8.200145664
Gm19279,5.074210529,5.096998715,5.446415916,4.467046131,4.662733049,4.770639532
2310057M21Rik,7.687099874,7.705332814,7.737408441,7.13974691,6.959794776,7.310788996
Gpc1,7.448878532,7.564374407,7.24282893,6.693797912,6.913919094,6.928241221
Gtf3a,8.868728885,8.871528507,8.936874166,8.21054756,8.250220778,8.495884572
Nipa1,6.046918067,6.131174368,6.302266009,5.55411163,5.709898101,5.495777537
L3mbtl2,8.159259218,8.280299549,8.132902498,7.486476406,7.693534197,7.671255314
Fam206a,7.719002389,7.524126079,7.715666122,7.019535679,7.105317926,7.112036378
Tsg101,8.531744898,8.580702123,8.49486539,7.914497135,8.02064145,7.950122064
D10Wsu102e,7.922330434,7.775722408,7.765513055,7.190365759,7.313569079,7.237097412
Katnb1,8.258305673,8.345535096,8.531264377,7.652508032,7.894808915,7.864514463
Pde8b,8.946199868,8.951702155,8.672620361,8.140128189,8.31318638,8.393381713
9-Mar,5.565312459,5.816806437,5.472259694,5.020373412,5.073158512,5.036974728
Twsg1,9.898186479,9.899895616,9.786750765,9.249084967,9.100019965,9.511156276
Oip5,5.415316369,5.279979987,5.649020231,4.758149598,4.745490273,5.115891377
Saraf,9.184504523,9.373686679,9.128985719,8.615705807,8.494753933,8.849929364
E2f1,8.085889208,8.456337842,8.411006123,7.714143836,7.789082219,7.722911263
Lmna,9.211200397,9.096933288,8.811260482,8.60987423,8.489253451,8.292379118
Yeats4,9.059918548,8.88963604,8.97537443,8.464739754,8.304322939,8.427881064
Ttc19,7.913920045,8.014416832,8.014753749,7.455444525,7.358046749,7.399804038
AI846148,7.546110998,7.338355327,7.402847476,6.829742759,6.921334108,6.805140449
Gpr75,6.855722361,6.904146962,6.771163512,6.14167816,6.281771018,6.376071926
Mtch1,10.24341929,10.56016323,10.29565004,9.816118538,9.844159731,9.707437693
Asun,9.664125471,9.387577092,9.466793301,8.968525645,8.8579395,8.960510727
Slc35a4,9.789057646,9.869139056,9.798828129,9.156958929,9.08381239,9.483508643
Rragc,8.301322769,8.121500519,8.410941078,7.791863229,7.660424615,7.645519511
Ufsp1,6.614894106,7.027630002,6.684854352,6.174116772,6.231526627,6.185656538
2310022A10Rik,7.405344819,7.653479398,7.55532694,6.942071002,6.846105529,7.089359524
4931428F04Rik,6.949904081,6.861586993,6.828804012,6.418655888,6.288601372,6.196346323
Vtn,6.081607693,5.992060609,6.085897354,5.498739769,5.569178359,5.354696735
Ubiad1,7.662084135,7.890601433,8.035241243,7.353906412,7.074661044,7.420380552
Ppp6c,9.69359597,9.74911624,9.578284238,9.157848536,8.964382658,9.159314415
Rmnd5a,8.751617513,8.789303557,8.653410547,8.168338516,8.088355959,8.196091628
Riiad1,5.641212287,5.764827666,5.493346745,5.053857209,5.21107559,4.892106525
Xpr1,9.101182814,9.170782986,9.236232188,8.623826927,8.388508721,8.753224784
Nrxn3,5.409385708,5.909019074,6.235877032,5.060477022,5.307115993,5.443624378
Tubb5,9.624593042,9.521653489,10.15429735,8.970776473,9.13886085,9.446023968
Fads1,9.752529895,9.984513831,9.955116133,9.265585,9.246611268,9.434740992
H1f0,10.80533557,10.51793437,10.64677238,10.2079001,9.934935411,10.08191315
