Feature Name,1,2,3,4,5
APEH,1.0,,,,
APEX1,,,1.0,,
API5,,1.0,,,
APLF,1.0,,,,
APLNR,,,-1.0,,
APLP2,1.0,,,,
APOB,,1.0,,,
APOBEC1,,1.0,,,
APOBEC2,,,1.0,,
APOBEC3A,,,,,1.0
APOBEC3B,1.0,,,1.0,
APOBEC3C,1.0,,,,
APOBEC3D,1.0,,,,
APOBEC3F,1.0,,,,
APOBEC3G,1.0,,,,
APOBEC4,,1.0,,,
APOD,,,,1.0,
APOL1,,,,1.0,
APOL3,,,,1.0,
APOL6,1.0,,,1.0,
APOM,,,,,1.0
APP,1.0,,,,
AQP1,,1.0,,,
AQP12B,,,1.0,,
AQP3,,,1.0,,
AQP6,,,1.0,,
AQR,1.0,1.0,,,
ARAP1,,,,1.0,
ARC,,,1.0,,
ARCN1,,1.0,,,
AREG,1.0,,,,
ARF4,1.0,,,,
ARFGAP1,1.0,,,,
ARFGAP2,,1.0,,,
ARFIP2,,,,1.0,
ARHGAP1,,,,1.0,
ARHGAP10,1.0,,,,
ARHGAP11A,1.0,,,,
ARHGAP11B,1.0,,,,
ARHGAP12,1.0,,,,
ARHGAP15,,,1.0,,
ARHGAP18,,1.0,,,
ARHGAP20,,1.0,,,
ARHGAP25,,,,1.0,
ARHGAP27,1.0,1.0,,,
ARHGAP29,,,,1.0,
ARHGAP31,1.0,,,,
ARHGAP5,,,,1.0,
ARHGAP8,,1.0,,,
ARHGDIA,,,1.0,,
ARHGDIB,1.0,,,,
ARHGDIG,,,1.0,,
ARHGEF1,1.0,,,,
ARHGEF12,,1.0,,,
ARHGEF17,1.0,,1.0,,
ARHGEF19,,1.0,,,
ARHGEF25,,,1.0,,
ARHGEF3,,,1.0,,
ARHGEF35,,1.0,,,
ARHGEF37,,,,1.0,
ARHGEF38,,,,1.0,
ARHGEF4,,1.0,1.0,,
ARHGEF5,,1.0,,,
ARHGEF6,,,1.0,,
ARHGEF7,,,,1.0,
ARID1A,,1.0,,,1.0
ARID3A,,1.0,,,
ARID4B,,,,,1.0
ARID5A,1.0,,,,
ARID5B,1.0,,,,
ARIH1,,,,,1.0
ARL1,,,,1.0,
ARL10,,,1.0,,
ARL11,,,,1.0,
ARL13B,1.0,,,,
ARL15,,,,1.0,
ARL2BP,,,,,1.0
ARL4A,1.0,,,1.0,
ARL5A,,1.0,,,
ARL6IP1,,,,,1.0
ARL6IP5,1.0,,,,
ARL6IP6,,,,,1.0
ARL8A,,,,,1.0
ARL8B,1.0,1.0,,,
ARL9,,,,,1.0
ARMC3,,,,1.0,
ARMC4,1.0,,,,
ARMC6,,,1.0,,
ARMC8,,,1.0,,
ARMCX1,,,,,1.0
ARMCX4,,,1.0,,
ARMCX5,,,1.0,,
ARNT,1.0,,,,
